ms2_spectrum_id,glycan_string,r_time_min,r_time,peaks_count,tic,precursor_charge,precursor_mz,H,Na,K,adduct_type
function=3 process=0 scan=436,Hex2HexNAc2,12.99499989,779.6999931,1162,97762,2,503.7088623,1,0,1,H1K1
function=3 process=0 scan=437,Hex2HexNAc2,13.01176643,780.705986,1134,105463,2,503.7088623,1,0,1,H1K1
function=2 process=0 scan=396,Hex2HexNAc2,13.16046619,789.6279716,1967,191431,2,503.7102356,1,0,1,H1K1
function=2 process=0 scan=397,Hex2HexNAc2,13.19163322,791.4979935,2039,282645,2,484.7321777,2,0,0,H2
function=2 process=0 scan=398,Hex2HexNAc2,13.24330044,794.5980263,1171,208007,1,968.4492188,1,0,0,H1
function=5 process=0 scan=495,Hex1HexNAc2,13.13360023,788.0160141,1363,101677,2,403.7070923,2,0,0,H2
function=3 process=0 scan=515,Hex2HexNAc2dHex1,15.24211693,914.5270157,834,70183,2,576.7355347,1,0,1,H1K1
function=3 process=0 scan=516,Hex2HexNAc2dHex1,15.25886631,915.5319786,876,78080,2,576.7355347,1,0,1,H1K1
function=2 process=0 scan=452,Hex2HexNAc2dHex1,15.2850666,917.1039963,901,92145,1,1114.503418,1,0,0,H1
function=3 process=0 scan=517,Hex2HexNAc2dHex1,15.28925037,917.3550224,967,126165,2,557.7592773,2,0,0,H2
function=2 process=0 scan=453,Hex2HexNAc2dHex1,15.30599976,918.3599854,469,94673,1,1114.503418,1,0,0,H1
function=2 process=0 scan=458,Hex2HexNAc2dHex1,15.4432497,926.5949821,1578,180813,2,576.7371216,1,0,1,H1K1
function=2 process=0 scan=459,Hex2HexNAc2dHex1,15.48648357,929.1890144,1850,302524,2,557.7589111,2,0,0,H2
function=3 process=0 scan=523,Hex2HexNAc2dHex1,15.49069977,929.4419861,534,206683,1,1114.504272,1,0,0,H1
function=2 process=0 scan=463,Hex2HexNAc2dHex1,15.62753296,937.6519775,1553,94913,2,576.7365112,1,0,1,H1K1
function=2 process=0 scan=464,Hex2HexNAc2dHex1,15.6484499,938.9069939,870,68593,2,576.7365112,1,0,1,H1K1
function=4 process=0 scan=563,Hex1HexNAc2dHex1,15.45168304,927.1009827,1039,72945,2,476.7344971,2,0,0,H2
function=4 process=0 scan=564,Hex1HexNAc2dHex1,15.46424961,927.8549767,1002,67516,2,476.7344971,2,0,0,H2
function=2 process=0 scan=531,Hex3HexNAc2,18.18261719,1090.957031,1228,69533,2,584.7338867,1,0,1,H1K1
function=2 process=0 scan=532,Hex3HexNAc2,18.20355034,1092.21302,779,58690,2,584.7338867,1,0,1,H1K1
function=3 process=0 scan=625,Hex3HexNAc2,18.23816681,1094.290009,845,106586,2,565.7562866,2,0,0,H2
function=4 process=0 scan=677,Hex3HexNAc2,18.24233246,1094.539948,407,59313,1,1130.496704,1,0,0,H1
function=4 process=0 scan=678,Hex3HexNAc2,18.25483322,1095.289993,366,60847,1,1130.496704,1,0,0,H1
function=2 process=0 scan=536,Hex3HexNAc2,18.37073326,1102.243996,1378,94580,2,584.7350464,1,0,1,H1K1
function=2 process=0 scan=537,Hex3HexNAc2,18.39168358,1103.501015,821,74592,2,584.7350464,1,0,1,H1K1
function=4 process=0 scan=685,Hex3HexNAc2,18.43824959,1106.294975,893,140782,2,565.7559204,2,0,0,H2
