Sample,241114_SLC35A2_SeqTypsin_denoised_by_msconvert
Group,Ungrouped
H2N2_13.15,2497864.3600000003
H2N2F1_15.48,3037402.7
H2N3F1_21.19,191519.76
H3N2_18.32,838302.48
H3N2F1_20.69,2964609.81
H3N3_21.48,222353.31
H3N3F1_23.69,1942865.58
H3N3F1_26.27,247370.85
H3N3F1_26.58,849871.08
H3N3S1F1_34.91,680873.15
H3N3S1F2_38.68,1031976.69
H3N4_24.22,3330944.4800000004
H3N4F1_26.27,10736431.74
H3N4F1_27.52,644928.78
H3N4F1_28.29,904461.6299999999
H3N4F2_30.41,450767.57000000007
H3N5_26.27,4957843.71
H3N5_27.14,154873.64
H3N5_27.87,1220078.62
H3N5F1_28.20,23213020.52
H3N5F1_29.12,1438749.35
H3N5F1_29.63,7570516.9399999995
H3N5F1_30.84,1369778.1600000001
H3N5F1_31.49,1261427.22
H3N5F2_32.59,7244051.68
H3N6_27.85,341976.35
H3N6_29.86,3099513.59
H3N6F1_29.58,5913749.53
H3N6F1_30.41,229608.06
H3N6F1_30.70,153198.13
H3N6F1_31.49,17572573.91
H3N6F1_32.59,958877.58
H3N6F1_33.21,123725.11
H3N6F2_34.06,334945.13
H3N6F2_34.71,1265330.69
H3N6F2_35.61,756393.3999999999
H3N6F2_36.85,113517.16
H3N6F3_38.41,1592629.0
H3N7_31.10,1419936.12
H3N7F1_32.59,12114065.970000003
H3N7F1_33.61,2694550.44
H3N7F2_36.61,56836.82
H3N8F1_34.45,1668757.82
H4N2_28.24,321406.66
H4N3_25.72,851178.25
H4N3F1_27.77,1028981.3
H4N3S1F1_38.68,1031248.81
H4N3S1F2_41.67,602688.77
H4N4F1_30.13,428975.66
H4N4F1_32.33,786566.3
H4N4F2_34.11,1159436.2000000002
H4N5F1_32.55,1169523.11
H4N6_31.51,511914.12
H4N6_31.93,56161.8
H4N6F2_38.44,155340.77
H4N7_32.58,2754224.98
H4N7_33.63,426167.95
H5N2_28.24,4729557.67
H5N2_32.55,360428.43
H5N3_30.41,1595188.0
H5N3S1F1_41.67,602354.31
H5N4_32.88,380319.13
H5N4F1_36.44,305732.85
H5N4F2_37.99,98889.55
H6N2_32.55,6887708.93
H7N2_36.65,4800212.16
H7N3S1_34.06,106446.07
H7N3S1_34.71,416488.91
H7N3S1_35.61,314552.83
H7N3S1F1_38.39,732626.97
H8N2_39.82,128194.88
H8N2_40.50,6868524.720000001
H8N3S1_38.39,278531.21
H9N2_42.75,1373949.35
H9N4_33.30,102546.54
