Sample,241114_SLC35A2_SeqTypsin_denoised_by_msconvert
Group,Ungrouped
H2N2,2497864.3600000003
H2N2F1,3037402.7
H2N3F1,191519.76
H3N2,838302.48
H3N2F1,2964609.81
H3N3,222353.31
H3N3F1,3040107.5100000002
H3N3S1F1,680873.15
H3N3S1F2,1031976.69
H3N4,3330944.4800000004
H3N4F1,12285822.149999999
H3N4F2,450767.57000000007
H3N5,6332795.97
H3N5F1,34853492.19
H3N5F2,7244051.68
H3N6,3441489.94
H3N6F1,24951732.319999997
H3N6F2,2470186.38
H3N6F3,1592629.0
H3N7,1419936.12
H3N7F1,14808616.410000002
H3N7F2,56836.82
H3N8F1,1668757.82
H4N2,321406.66
H4N3,851178.25
H4N3F1,1028981.3
H4N3S1F1,1031248.81
H4N3S1F2,602688.77
H4N4F1,1215541.96
H4N4F2,1159436.2000000002
H4N5F1,1169523.11
H4N6,568075.92
H4N6F2,155340.77
H4N7,3180392.93
H5N2,5089986.1
H5N3,1595188.0
H5N3S1F1,602354.31
H5N4,380319.13
H5N4F1,305732.85
H5N4F2,98889.55
H6N2,6887708.93
H7N2,4800212.16
H7N3S1,837487.81
H7N3S1F1,732626.97
H8N2,6996719.600000001
H8N3S1,278531.21
H9N2,1373949.35
H9N4,102546.54
