Precursor Name, Precursor Formula, Precursor Adduct, Precursor Charge
H10N10,C153O101N13H253,[M+H1],1
H10N10,C153O101N13H253,[M+H2],2
H10N10,C153O101N13H253,[M+H3],3
H10N10F1,C159O105N13H263,[M+H1],1
H10N10F1,C159O105N13H263,[M+H2],2
H10N10F1,C159O105N13H263,[M+H3],3
H10N10F2,C165O109N13H273,[M+H1],1
H10N10F2,C165O109N13H273,[M+H2],2
H10N10F2,C165O109N13H273,[M+H3],3
H10N10S1,C164O109N14H270,[M+H1],1
H10N10S1,C164O109N14H270,[M+H2],2
H10N10S1,C164O109N14H270,[M+H3],3
H10N10S1F1,C170O113N14H280,[M+H1],1
H10N10S1F1,C170O113N14H280,[M+H2],2
H10N10S1F1,C170O113N14H280,[M+H3],3
H10N10S2,C175O117N15H287,[M+H1],1
H10N10S2,C175O117N15H287,[M+H2],2
H10N10S2,C175O117N15H287,[M+H3],3
H10N2,C89O61N5H149,[M+H1],1
H10N2,C89O61N5H149,[M+H2],2
H10N2,C89O61N5H149,[M+H3],3
H10N2F1,C95O65N5H159,[M+H1],1
H10N2F1,C95O65N5H159,[M+H2],2
H10N2F1,C95O65N5H159,[M+H3],3
H10N3,C97O66N6H162,[M+H1],1
H10N3,C97O66N6H162,[M+H2],2
H10N3,C97O66N6H162,[M+H3],3
H10N3F1,C103O70N6H172,[M+H1],1
H10N3F1,C103O70N6H172,[M+H2],2
H10N3F1,C103O70N6H172,[M+H3],3
H10N3F2,C109O74N6H182,[M+H1],1
H10N3F2,C109O74N6H182,[M+H2],2
H10N3F2,C109O74N6H182,[M+H3],3
H10N3S1,C108O74N7H179,[M+H1],1
H10N3S1,C108O74N7H179,[M+H2],2
H10N3S1,C108O74N7H179,[M+H3],3
H10N3S1F1,C114O78N7H189,[M+H1],1
H10N3S1F1,C114O78N7H189,[M+H2],2
H10N3S1F1,C114O78N7H189,[M+H3],3
H10N3S1F2,C120O82N7H199,[M+H1],1
H10N3S1F2,C120O82N7H199,[M+H2],2
H10N3S1F2,C120O82N7H199,[M+H3],3
H10N3S2,C119O82N8H196,[M+H1],1
H10N3S2,C119O82N8H196,[M+H2],2
H10N3S2,C119O82N8H196,[M+H3],3
H10N3S2F1,C125O86N8H206,[M+H1],1
H10N3S2F1,C125O86N8H206,[M+H2],2
H10N3S2F1,C125O86N8H206,[M+H3],3
H10N3S2F2,C131O90N8H216,[M+H1],1
H10N3S2F2,C131O90N8H216,[M+H2],2
H10N3S2F2,C131O90N8H216,[M+H3],3
H10N4,C105O71N7H175,[M+H1],1
H10N4,C105O71N7H175,[M+H2],2
H10N4,C105O71N7H175,[M+H3],3
H10N4F1,C111O75N7H185,[M+H1],1
H10N4F1,C111O75N7H185,[M+H2],2
H10N4F1,C111O75N7H185,[M+H3],3
H10N4F2,C117O79N7H195,[M+H1],1
H10N4F2,C117O79N7H195,[M+H2],2
H10N4F2,C117O79N7H195,[M+H3],3
H10N4F3,C123O83N7H205,[M+H1],1
H10N4F3,C123O83N7H205,[M+H2],2
H10N4F3,C123O83N7H205,[M+H3],3
H10N4S1,C116O79N8H192,[M+H1],1
H10N4S1,C116O79N8H192,[M+H2],2
H10N4S1,C116O79N8H192,[M+H3],3
H10N4S1F1,C122O83N8H202,[M+H1],1
