Sample,241114_SLC35A2_SeqTypsin
Group,Ungrouped
H2N2F1_20.69,216858.68
H2N3F1_21.19,482682.17000000004
H2N4_26.27,38785.46
H3N2_17.71,101295.64
H3N2F1_20.69,1309797.96
H3N3_21.53,300542.68
H3N3F1_23.69,2567915.12
H3N3F1_26.55,544731.15
H3N3F1_27.02,184229.52000000002
H3N3S1F1_34.91,802852.61
H3N3S1F2_38.14,55644.1
H3N3S1F2_39.33,17602.45
H3N4F1_26.27,10945980.54
H3N5_26.27,3550911.91
H3N5F1_30.84,844594.02
H3N5F1_31.47,973373.72
H3N5F2_32.59,204460.26
H4N2_23.25,285755.59
H4N3_26.23,46751.05
H4N3S1F1_38.14,55609.71
H4N3S1F1_39.33,17591.32
H4N3S1F2_41.67,648889.03
H4N4F1_32.33,515438.54
H5N2_28.24,2048811.85
H5N2_28.77,234973.38
H5N3S1F1_41.67,648516.0
H5N4_32.85,236024.31
H7N4F1_27.43,43679.15
H8N2_40.50,3674304.63
