glycan_comp,category
Hex3HexNAc2Neu5Ac1,new_identified_by_GlycoMsHelper_confirm_manually
Hex4HexNAc1,new_identified_by_GlycoMsHelper_confirm_manually
Hex4HexNAc2Neu5Ac2,new_identified_by_GlycoMsHelper_confirm_manually
Hex4HexNAc2dHex1Neu5Ac1,new_identified_by_GlycoMsHelper_confirm_manually
Hex4HexNAc3,new_identified_by_GlycoMsHelper_confirm_manually
Hex4HexNAc3Neu5Ac1,new_identified_by_GlycoMsHelper_confirm_manually
Hex4HexNAc3dHex1,new_identified_by_GlycoMsHelper_confirm_manually
Hex5HexNAc2,new_identified_by_GlycoMsHelper_confirm_manually
Hex5HexNAc2dHex1,new_identified_by_GlycoMsHelper_confirm_manually
Hex6HexNAc3Neu5Ac1,new_identified_by_GlycoMsHelper_can_not_confirm_manually
Hex6HexNAc3dHex1Neu5Ac1,new_identified_by_GlycoMsHelper_can_not_confirm_manually
Hex2Neu5Ac2,wrong
Hex3HexNAc2dHex1Neu5Ac3,wrong
Hex3HexNAc2dHex2,wrong
Hex4HexNAc1dHex4Neu5Ac1,wrong
Hex4HexNAc1dHex4Neu5Ac2,wrong
Hex4HexNAc2dHex5,wrong
Hex4HexNAc2dHex5Neu5Ac1,wrong
Hex6HexNAc3dHex1,wrong
Hex6HexNAc3dHex2,wrong
